timestamp,phase,model,language,prompt_template,question,concept,region,metric_name,metric_value,p_value,test_type,n_samples,notes
2026-07-13T19:54:33.704637,Q2_Confound,siglip2,es,,,,,spearman_rho_S_gap_vs_delta,0.2121212121212121,0.5563057751029299,spearmanr,10,
2026-07-13T19:54:33.707799,Q2,siglip2,ar,P1,,,,delta_L_region_paired_p,7.962931989852605e-08,7.962931989852605e-08,paired_ttest,6,
2026-07-13T19:54:33.708379,Q2,siglip2,ar,P1,,,,delta_L_welch_p,5.8559877095243945e-140,5.8559877095243945e-140,Welch_ind,3000,
2026-07-13T19:54:33.712212,Q2,siglip2,ar,P2,,,,delta_L_region_paired_p,1.100706444380462e-07,1.100706444380462e-07,paired_ttest,6,
2026-07-13T19:54:33.713316,Q2,siglip2,ar,P2,,,,delta_L_welch_p,6.5585355337360936e-142,6.5585355337360936e-142,Welch_ind,3000,
2026-07-13T19:54:33.717201,Q2,siglip2,ar,P3,,,,delta_L_region_paired_p,2.0107720656212728e-07,2.0107720656212728e-07,paired_ttest,6,
2026-07-13T19:54:33.718307,Q2,siglip2,ar,P3,,,,delta_L_welch_p,4.93526964392582e-34,4.93526964392582e-34,Welch_ind,3000,
2026-07-13T19:54:33.722381,Q2_Confound,siglip2,ar,,,,,spearman_rho_S_gap_vs_delta,-0.10303030303030303,0.7769984634438898,spearmanr,10,
2026-07-13T19:54:34.873896,Q3,openclip,es,,,,,mean_prompt_gain_P3,0.00016766164626460522,,,,tier=Tier1
2026-07-13T19:54:34.874484,Q3,openclip,es,,,,,mean_prompt_gain_P3,-0.007632035575807094,,,,tier=Tier2
2026-07-13T19:54:34.876640,Q3,openclip,es,,,,,prompt_gain_tier_diff_p,0.014517864076441558,0.014517864076441558,Welch_ind,60,
2026-07-13T19:54:34.883925,Q3,openclip,ar,,,,,mean_prompt_gain_P3,0.03014661481138319,,,,tier=Tier1
2026-07-13T19:54:34.885253,Q3,openclip,ar,,,,,mean_prompt_gain_P3,0.008423861178259055,,,,tier=Tier2
2026-07-13T19:54:34.887418,Q3,openclip,ar,,,,,prompt_gain_tier_diff_p,9.16476790711957e-06,9.16476790711957e-06,Welch_ind,60,
2026-07-13T19:54:34.936134,Q3,siglip2,es,,,,,mean_prompt_gain_P3,0.03352140227410321,,,,tier=Tier1
2026-07-13T19:54:34.936686,Q3,siglip2,es,,,,,mean_prompt_gain_P3,-0.006363694755979547,,,,tier=Tier2
2026-07-13T19:54:34.938289,Q3,siglip2,es,,,,,prompt_gain_tier_diff_p,0.00016376410103478836,0.00016376410103478836,Welch_ind,60,
2026-07-13T19:54:34.946799,Q3,siglip2,ar,,,,,mean_prompt_gain_P3,0.06294065283145756,,,,tier=Tier1
2026-07-13T19:54:34.947858,Q3,siglip2,ar,,,,,mean_prompt_gain_P3,-0.0245396171308433,,,,tier=Tier2
2026-07-13T19:54:34.949551,Q3,siglip2,ar,,,,,prompt_gain_tier_diff_p,0.00014307022889077577,0.00014307022889077577,Welch_ind,60,
2026-07-13T21:02:28.953158,Q1,openclip,,,,,,cross_region_divergence_ttest_p,0.25119840490663026,0.25119840490663026,Welch_ind,10,
2026-07-13T21:02:28.957122,Q1,siglip2,,,,,,cross_region_divergence_ttest_p,0.5368432861352639,0.5368432861352639,Welch_ind,10,
2026-07-13T21:02:30.107670,Q2,openclip,es,P1,,,,delta_L_region_paired_p,1.1322226748992524e-11,1.1322226748992524e-11,paired_ttest,6,
2026-07-13T21:02:30.108698,Q2,openclip,es,P1,,,,delta_L_welch_p,5.462889344839984e-232,5.462889344839984e-232,Welch_ind,3000,
2026-07-13T21:02:30.111897,Q2,openclip,es,P2,,,,delta_L_region_paired_p,3.831966890397401e-06,3.831966890397401e-06,paired_ttest,6,
2026-07-13T21:02:30.112975,Q2,openclip,es,P2,,,,delta_L_welch_p,3.105694096176543e-220,3.105694096176543e-220,Welch_ind,3000,
2026-07-13T21:02:30.116618,Q2,openclip,es,P3,,,,delta_L_region_paired_p,1.0364864821758624e-05,1.0364864821758624e-05,paired_ttest,6,
2026-07-13T21:02:30.117134,Q2,openclip,es,P3,,,,delta_L_welch_p,1.8693226353823777e-202,1.8693226353823777e-202,Welch_ind,3000,
2026-07-13T21:02:30.124664,Q2_Confound,openclip,es,,,,,spearman_rho_S_gap_vs_delta,-0.05454545454545454,0.8810361811618526,spearmanr,10,
2026-07-13T21:02:30.127658,Q2,openclip,ar,P1,,,,delta_L_region_paired_p,4.995832839039585e-06,4.995832839039585e-06,paired_ttest,6,
2026-07-13T21:02:30.128728,Q2,openclip,ar,P1,,,,delta_L_welch_p,1.2699430193801273e-203,1.2699430193801273e-203,Welch_ind,3000,
2026-07-13T21:02:30.132361,Q2,openclip,ar,P2,,,,delta_L_region_paired_p,0.00043393230670310437,0.00043393230670310437,paired_ttest,6,
2026-07-13T21:02:30.132874,Q2,openclip,ar,P2,,,,delta_L_welch_p,1.4961325821646977e-72,1.4961325821646977e-72,Welch_ind,3000,
2026-07-13T21:02:30.136484,Q2,openclip,ar,P3,,,,delta_L_region_paired_p,0.00020586050730348412,0.00020586050730348412,paired_ttest,6,
2026-07-13T21:02:30.137527,Q2,openclip,ar,P3,,,,delta_L_welch_p,1.4610296789259475e-48,1.4610296789259475e-48,Welch_ind,3000,
2026-07-13T21:02:30.142116,Q2_Confound,openclip,ar,,,,,spearman_rho_S_gap_vs_delta,0.29696969696969694,0.40470167127015705,spearmanr,10,
2026-07-13T21:02:30.200857,Q2,siglip2,es,P1,,,,delta_L_region_paired_p,5.1384073558383864e-08,5.1384073558383864e-08,paired_ttest,6,
2026-07-13T21:02:30.201908,Q2,siglip2,es,P1,,,,delta_L_welch_p,8.230246808007331e-104,8.230246808007331e-104,Welch_ind,3000,
2026-07-13T21:02:30.205600,Q2,siglip2,es,P2,,,,delta_L_region_paired_p,0.07109512779062664,0.07109512779062664,paired_ttest,6,
2026-07-13T21:02:30.206629,Q2,siglip2,es,P2,,,,delta_L_welch_p,1.255404397287232e-24,1.255404397287232e-24,Welch_ind,3000,
2026-07-13T21:02:30.209803,Q2,siglip2,es,P3,,,,delta_L_region_paired_p,0.02401900930267827,0.02401900930267827,paired_ttest,6,
2026-07-13T21:02:30.210889,Q2,siglip2,es,P3,,,,delta_L_welch_p,4.0743042006687915e-23,4.0743042006687915e-23,Welch_ind,3000,
2026-07-13T21:02:30.215089,Q2_Confound,siglip2,es,,,,,spearman_rho_S_gap_vs_delta,0.2121212121212121,0.5563057751029299,spearmanr,10,
2026-07-13T21:02:30.217788,Q2,siglip2,ar,P1,,,,delta_L_region_paired_p,7.962931989852605e-08,7.962931989852605e-08,paired_ttest,6,
2026-07-13T21:02:30.218831,Q2,siglip2,ar,P1,,,,delta_L_welch_p,5.8559877095243945e-140,5.8559877095243945e-140,Welch_ind,3000,
2026-07-13T21:02:30.222494,Q2,siglip2,ar,P2,,,,delta_L_region_paired_p,0.014662566002341783,0.014662566002341783,paired_ttest,6,
2026-07-13T21:02:30.223023,Q2,siglip2,ar,P2,,,,delta_L_welch_p,2.670118403585348e-37,2.670118403585348e-37,Welch_ind,3000,
2026-07-13T21:02:30.226925,Q2,siglip2,ar,P3,,,,delta_L_region_paired_p,0.020605046499928604,0.020605046499928604,paired_ttest,6,
2026-07-13T21:02:30.227949,Q2,siglip2,ar,P3,,,,delta_L_welch_p,6.63621297177989e-10,6.63621297177989e-10,Welch_ind,3000,
2026-07-13T21:02:30.231769,Q2_Confound,siglip2,ar,,,,,spearman_rho_S_gap_vs_delta,-0.10303030303030303,0.7769984634438898,spearmanr,10,
